시도,지역구분,세부차종,제조사,모델명,국비(만원),지방비(만원),보조금(만원)
경북,영주시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,500,854
경북,영주시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,500,844
경북,영주시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,500,861
경북,영주시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,500,854
경북,상주시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,500,827
경북,상주시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,500,812
경북,상주시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,500,854
경북,상주시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,500,844
경북,상주시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,500,861
경북,상주시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,500,854
경북,경산시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,500,827
경북,경산시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,500,812
경북,경산시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,500,854
경북,경산시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,500,844
경북,경산시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,500,861
경북,경산시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,500,854
경북,청송군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,500,827
경북,청송군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,500,812
경북,청송군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,500,854
경북,청송군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,500,844
경북,청송군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,500,861
경북,청송군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,500,854
경북,성주군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,0,327
경북,성주군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,0,312
경북,성주군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,0,354
경북,성주군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,0,344
경북,성주군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,0,361
경북,성주군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,0,354
경남,창원시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,99,426
경남,창원시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,94,406
경남,창원시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,107,461
경남,창원시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,104,448
경남,창원시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,109,470
경남,창원시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,107,461
경남,밀양시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,0,327
경남,밀양시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,0,312
경남,밀양시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,0,354
경남,밀양시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,0,344
경남,밀양시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,0,361
경남,밀양시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,0,354
경남,산청군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,99,426
경남,산청군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,94,406
경남,산청군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,107,461
경남,산청군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,104,448
경남,산청군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,109,470
경남,산청군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,107,461
경남,함양군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,99,426
경남,함양군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,94,406
경남,함양군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,107,461
경남,함양군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,104,448
경남,함양군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,109,470
경남,함양군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,107,461
경남,합천군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,399,726
경남,합천군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,381,693
경남,합천군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,432,786
경남,합천군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,420,764
경남,합천군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,441,802
경남,합천군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,432,786
서울,서울특별시,전기화물,케이지모빌리티,토레스 EVX VAN 20인치,312,93,405
서울,서울특별시,전기화물,케이지모빌리티,토레스 EVX VAN 18인치,314,94,408
서울,서울특별시,전기화물,케이지모빌리티,MUSSO EV 2WD 17인치,639,191,830
서울,서울특별시,전기화물,케이지모빌리티,MUSSO EV AWD 17인치,618,185,803
서울,서울특별시,전기화물,케이지모빌리티,토레스 EVX 밴 20인치,344,103,447
서울,서울특별시,전기화물,케이지모빌리티,토레스 EVX 밴 18인치,348,104,452
서울,서울특별시,전기화물,케이지모빌리티,토레스 EVX 밴 18인치(2026),355,106,461
부산,부산광역시,전기화물,케이지모빌리티,토레스 EVX VAN 20인치,312,0,312
부산,부산광역시,전기화물,케이지모빌리티,토레스 EVX VAN 18인치,314,0,314
부산,부산광역시,전기화물,케이지모빌리티,MUSSO EV 2WD 17인치,639,0,639
부산,부산광역시,전기화물,케이지모빌리티,MUSSO EV AWD 17인치,618,0,618
부산,부산광역시,전기화물,케이지모빌리티,토레스 EVX 밴 20인치,344,0,344
